timestamp_utc,gui_frame,slot,team,fighter_base,char_id,character_name,point_before,point_after,event_kind,max_hp_before,max_hp_after,current_before,current_after,current_delta,aux_before,aux_after,aux_delta,red_before,red_after,red_delta,damage_observed,aux_loss_observed,red_generated_observed,predicted_aux_loss,predicted_red_generated,prediction_difference,prediction_match,prediction_confidence,predicted_reserve_step,pending_current_delta,pending_aux_delta,heal_sync_mode,baroque_before,baroque_after,red_spent_before,red_spent_after,attacker_slot,attacker_char_id,attacker_name,attacker_action_id,attacker_action_name,attacker_action_frame,attack_base_damage,attack_property_a,attack_property_b,notes
2026-07-25T16:55:52Z,154,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,33877,33077,-800,37927,37447,-480,4050,4370,320,800,480,320,480,320,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:53Z,157,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,33077,31709,-1368,37447,36627,-820,4370,4918,548,1368,820,548,820,548,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:54Z,164,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,31709,30909,-800,36627,36147,-480,4918,5238,320,800,480,320,480,320,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:54Z,166,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,30909,29541,-1368,36147,35327,-820,5238,5786,548,1368,820,548,820,548,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:54Z,167,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,29541,28317,-1224,35327,34593,-734,5786,6276,490,1224,734,490,734,490,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:54Z,170,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,28317,26209,-2108,34593,33329,-1264,6276,7120,844,2108,1264,844,1264,844,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:55Z,173,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,26209,24290,-1919,33329,32178,-1151,7120,7888,768,1919,1151,768,1151,768,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:55Z,177,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,24290,22627,-1663,32178,31181,-997,7888,8554,666,1663,997,666,997,666,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:56Z,181,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,22627,20656,-1971,31181,29999,-1182,8554,9343,789,1971,1182,789,1182,789,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:57Z,191,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,20656,20112,-544,29999,29673,-326,9343,9561,218,544,326,218,326,218,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:57Z,192,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,20112,19198,-914,29673,29125,-548,9561,9927,366,914,548,366,548,366,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:58Z,195,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,19198,18408,-790,29125,28651,-474,9927,10243,316,790,474,316,474,316,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:58Z,198,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,18408,17098,-1310,28651,27865,-786,10243,10767,524,1310,786,524,786,524,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:58Z,201,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,17098,15943,-1155,27865,27172,-693,10767,11229,462,1155,693,462,693,462,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:59Z,204,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,15943,15017,-926,27172,26617,-555,11229,11600,371,926,555,371,555,371,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:55:59Z,209,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,15017,14411,-606,26617,26254,-363,11600,11843,243,606,363,243,363,243,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:56:00Z,212,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,14411,13804,-607,26254,25890,-364,11843,12086,243,607,364,243,364,243,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:56:00Z,215,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,13804,13196,-608,25890,25526,-364,12086,12330,244,608,364,244,364,244,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:56:00Z,219,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,13196,12587,-609,25526,25161,-365,12330,12574,244,609,365,244,365,244,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:56:03Z,244,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,recoverable_heal,44000,44000,12587,13587,1000,25161,25161,0,12574,11574,-1000,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T16:56:03Z,245,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,recoverable_heal,44000,44000,13587,16087,2500,25161,25161,0,11574,9074,-2500,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T16:56:03Z,246,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,recoverable_heal,44000,44000,16087,18587,2500,25161,25161,0,9074,6574,-2500,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T16:56:03Z,247,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,recoverable_heal,44000,44000,18587,21087,2500,25161,25161,0,6574,4074,-2500,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T16:56:03Z,248,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,recoverable_heal,44000,44000,21087,23587,2500,25161,25161,0,4074,1574,-2500,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T16:56:03Z,249,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,mixed_heal,44000,44000,23587,26587,3000,25161,26587,1426,1574,0,-1574,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T16:56:03Z,250,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,current_and_ceiling_heal,44000,44000,26587,29587,3000,26587,29587,3000,0,0,0,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T16:56:03Z,251,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,current_and_ceiling_heal,44000,44000,29587,32587,3000,29587,32587,3000,0,0,0,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T16:56:03Z,252,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,current_and_ceiling_heal,44000,44000,32587,36087,3500,32587,36087,3500,0,0,0,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T16:56:04Z,253,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,current_and_ceiling_heal,44000,44000,36087,39587,3500,36087,39587,3500,0,0,0,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T16:56:04Z,254,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,current_and_ceiling_heal,44000,44000,39587,43587,4000,39587,43587,4000,0,0,0,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T16:56:04Z,255,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,full_health_reset,44000,44000,43587,44000,413,43587,44000,413,0,0,0,0,0,0,,,,,none,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:56:09Z,311,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,44000,43200,-800,44000,43520,-480,0,320,320,800,480,320,480,320,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:56:10Z,324,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,43200,40640,-2560,43520,41984,-1536,320,1344,1024,2560,1536,1024,1536,1024,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:56:11Z,345,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,mixed_heal,44000,44000,40640,42140,1500,41984,42140,156,1344,0,-1344,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T16:56:11Z,346,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,full_health_reset,44000,44000,42140,44000,1860,42140,44000,1860,0,0,0,0,0,0,,,,,none,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T16:57:55Z,1482,P1-C1,P1,0x9246B9C0,12,Ryu,True,True,recoverable_heal,48000,48000,43200,45200,2000,48000,48000,0,4800,2800,-2000,0,0,0,,,,,none,4,500,0,1,False,False,4800,4800,,,,,,,,,,
2026-07-25T16:57:55Z,1483,P1-C1,P1,0x9246B9C0,12,Ryu,True,True,recoverable_heal,48000,48000,45200,48000,2800,48000,48000,0,2800,0,-2800,0,0,0,,,,,none,4,0,0,0,False,False,4800,4800,,,,,,,,,,
2026-07-25T17:01:07Z,3410,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,44000,41520,-2480,44000,42512,-1488,0,992,992,2480,1488,992,1488,992,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:01:39Z,3667,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,full_health_reset,44000,44000,41520,44000,2480,42512,44000,1488,992,0,-992,0,0,0,,,,,none,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:02:01Z,3883,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,44000,41520,-2480,44000,42512,-1488,0,992,992,2480,1488,992,1488,992,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:02:02Z,3903,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,recoverable_heal,44000,44000,41520,42020,500,42512,42512,0,992,492,-500,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T17:02:02Z,3904,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,full_health_reset,44000,44000,42020,44000,1980,42512,44000,1488,492,0,-492,0,0,0,,,,,none,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:02:07Z,3964,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,44000,41440,-2560,44000,42464,-1536,0,1024,1024,2560,1536,1024,1536,1024,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:02:08Z,3982,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,full_health_reset,44000,44000,41440,44000,2560,42464,44000,1536,1024,0,-1024,0,0,0,,,,,none,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:04:31Z,5349,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,44000,42560,-1440,44000,43136,-864,0,576,576,1440,864,576,864,576,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:04:42Z,5411,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,full_health_reset,44000,44000,42560,44000,1440,43136,44000,864,576,0,-576,0,0,0,,,,,none,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:05:46Z,6049,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,44000,42560,-1440,44000,43136,-864,0,576,576,1440,864,576,864,576,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:05:47Z,6053,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,42560,40080,-2480,43136,41648,-1488,576,1568,992,2480,1488,992,1488,992,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:05:49Z,6066,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,mixed_heal,44000,44000,40080,42580,2500,41648,42580,932,1568,0,-1568,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T17:05:49Z,6067,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,full_health_reset,44000,44000,42580,44000,1420,42580,44000,1420,0,0,0,0,0,0,,,,,none,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:07:00Z,6791,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,44000,41520,-2480,44000,42512,-1488,0,992,992,2480,1488,992,1488,992,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:07:02Z,6813,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,mixed_heal,44000,44000,41520,43520,2000,42512,43520,1008,992,0,-992,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T17:07:02Z,6814,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,full_health_reset,44000,44000,43520,44000,480,43520,44000,480,0,0,0,0,0,0,,,,,none,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:07:16Z,7020,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,44000,41520,-2480,44000,42512,-1488,0,992,992,2480,1488,992,1488,992,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:07:18Z,7034,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,41520,39040,-2480,42512,41024,-1488,992,1984,992,2480,1488,992,1488,992,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:07:19Z,7055,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,mixed_heal,44000,44000,39040,41540,2500,41024,41540,516,1984,0,-1984,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T17:07:19Z,7056,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,current_and_ceiling_heal,44000,44000,41540,43540,2000,41540,43540,2000,0,0,0,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T17:07:19Z,7057,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,full_health_reset,44000,44000,43540,44000,460,43540,44000,460,0,0,0,0,0,0,,,,,none,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:07:23Z,7109,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,44000,43040,-960,44000,43424,-576,0,384,384,960,576,384,576,384,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:07:23Z,7113,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,43040,40560,-2480,43424,41936,-1488,384,1376,992,2480,1488,992,1488,992,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:07:25Z,7132,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,40560,39120,-1440,41936,41072,-864,1376,1952,576,1440,864,576,864,576,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:07:26Z,7141,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,39120,37760,-1360,41072,40256,-816,1952,2496,544,1360,816,544,816,544,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:07:27Z,7160,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,recoverable_heal,44000,44000,37760,38260,500,40256,40256,0,2496,1996,-500,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T17:07:27Z,7161,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,mixed_heal,44000,44000,38260,40760,2500,40256,40760,504,1996,0,-1996,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T17:07:27Z,7162,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,current_and_ceiling_heal,44000,44000,40760,43260,2500,40760,43260,2500,0,0,0,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T17:07:27Z,7163,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,full_health_reset,44000,44000,43260,44000,740,43260,44000,740,0,0,0,0,0,0,,,,,none,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:14:54Z,13104,P1-C1,P1,0x9246B9C0,12,Ryu,True,True,baroque_spent_latch_change,48000,48000,48000,48000,0,48000,48000,0,0,0,0,0,0,0,,,,,none,4,0,0,0,False,False,4800,0,,,,,,,,,,
2026-07-25T17:14:54Z,13104,P1-C2,P1,0x92B6BA00,13,Chun-Li,False,True,point_status_change,46000,46000,46000,46000,0,46000,46000,0,0,0,0,0,0,0,,,,,none,4,4,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:14:54Z,13104,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,False,point_status_change,44000,44000,44000,44000,0,44000,44000,0,0,0,0,0,0,0,,,,,none,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:14:54Z,13105,P1-C2,P1,0x92B6BA00,13,Chun-Li,True,False,point_status_change,46000,46000,46000,46000,0,46000,46000,0,0,0,0,0,0,0,,,,,none,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:14:54Z,13105,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,False,True,point_status_change,44000,44000,44000,44000,0,44000,44000,0,0,0,0,0,0,0,,,,,none,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:17:58Z,107,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,44000,43200,-800,44000,43520,-480,0,320,320,800,480,320,480,320,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:18:00Z,121,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,full_health_reset,44000,44000,43200,44000,800,43520,44000,480,320,0,-320,0,0,0,,,,,none,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:18:00Z,124,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,44000,43200,-800,44000,43520,-480,0,320,320,800,480,320,480,320,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:18:00Z,126,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,43200,41832,-1368,43520,42700,-820,320,868,548,1368,820,548,820,548,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:18:01Z,128,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,41832,40608,-1224,42700,41966,-734,868,1358,490,1224,734,490,734,490,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:18:01Z,132,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,40608,38500,-2108,41966,40702,-1264,1358,2202,844,2108,1264,844,1264,844,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:18:01Z,136,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,38500,36581,-1919,40702,39551,-1151,2202,2970,768,1919,1151,768,1151,768,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:18:02Z,140,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,36581,34918,-1663,39551,38554,-997,2970,3636,666,1663,997,666,997,666,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:18:02Z,145,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,34918,32947,-1971,38554,37372,-1182,3636,4425,789,1971,1182,789,1182,789,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:18:03Z,156,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,32947,32045,-902,37372,36831,-541,4425,4786,361,902,541,361,541,361,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:18:04Z,160,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,32045,30681,-1364,36831,36013,-818,4786,5332,546,1364,818,546,818,546,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:18:04Z,165,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,30681,29743,-938,36013,35451,-562,5332,5708,376,938,562,376,562,376,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:18:05Z,169,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,29743,28889,-854,35451,34939,-512,5708,6050,342,854,512,342,512,342,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:18:05Z,173,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,28889,28120,-769,34939,34478,-461,6050,6358,308,769,461,308,461,308,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:18:05Z,177,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,normal_damage_red_generation,44000,44000,28120,27435,-685,34478,34067,-411,6358,6632,274,685,411,274,411,274,0,True,medium,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:18:05Z,178,P1-C2,P1,0x92B6BA00,13,Chun-Li,False,True,point_status_change,46000,46000,46000,46000,0,46000,46000,0,0,0,0,0,0,0,,,,,none,4,0,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:18:07Z,199,P1-C2,P1,0x92B6BA00,13,Chun-Li,True,False,point_status_change,46000,46000,46000,46000,0,46000,46000,0,0,0,0,0,0,0,,,,,none,4,4,0,0,False,False,0,0,,,,,,,,,,
2026-07-25T17:18:08Z,202,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,recoverable_heal,44000,44000,27435,28435,1000,34067,34067,0,6632,5632,-1000,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
2026-07-25T17:18:08Z,203,P2-C1,P2,0x927EB9E0,1,Ken the Eagle,True,True,recoverable_heal,44000,44000,28435,30935,2500,34067,34067,0,5632,3132,-2500,0,0,0,,,,,none,4,500,0,1,False,False,0,0,,,,,,,,,,
